# German for Hushfacebook: the English key, a tab, the translation. One row per string.
# After editing, run python scripts/gen-l10n.py from the repository root.
"Pages you may like" and Facebook's own upsell cards. The in-feed surveys go too.	„Seiten, die dir gefallen könnten“ und Facebooks Werbekarten in eigener Sache. Die Umfragen im Feed verschwinden auch.
%1$d item in that file isn't a setting this version of Hushfacebook knows, so it'll be left out.	%1$d Eintrag in dieser Datei ist keine Einstellung, die diese Version von Hushfacebook kennt, und wird deshalb ausgelassen.
%1$d items in that file aren't settings this version of Hushfacebook knows, so they'll be left out.	%1$d Einträge in dieser Datei sind keine Einstellungen, die diese Version von Hushfacebook kennt, und werden deshalb ausgelassen.
%1$d switch will change.	%1$d Schalter wird geändert.
%1$d switches will change.	%1$d Schalter werden geändert.
%1$s of %2$s	%1$s von %2$s
%1$s so far	Bisher %1$s
%1$s. It was set when you patched, so Pause can't turn it off. To rule it out, patch again without the patch it comes from.	%1$s. Das wurde beim Patchen festgelegt, deshalb kann die Pause es nicht ausschalten. Um es auszuschließen, patche erneut ohne den zugehörigen Patch.
%1$s. They were set when you patched, so Pause can't turn them off. To rule one out, patch again without the patch it comes from.	%1$s. Diese wurden beim Patchen festgelegt, deshalb kann die Pause sie nicht ausschalten. Um eines davon auszuschließen, patche erneut ohne den zugehörigen Patch.
A diagnostic report is already being saved.	Ein Diagnosebericht wird bereits gespeichert.
A Download button in the sidebar of every reel saves it at the best quality the player streams. Off or paused, reels show only Facebook's own buttons.	Ein Download-Button in der Seitenleiste jedes Reels speichert es in der besten Qualität, die der Player streamt. Ist der Schalter aus oder Hushfacebook pausiert, zeigen Reels nur Facebooks eigene Buttons.
A file named %1$s in %2$s paused Hushfacebook.	Eine Datei namens %1$s in %2$s hat Hushfacebook pausiert.
About	Info
Ad cards between the stories people posted.	Werbekarten zwischen den Stories, die Leute gepostet haben.
Ad telemetry blocked	Werbe-Telemetrie blockiert
Adds Download to phone to the menu of a video in the feed or in Watch, below Facebook's own items, and saves at the best quality the player streams. Off or paused, the menu is Facebook's own.	Fügt „Aufs Handy herunterladen“ unter Facebooks eigenen Einträgen zum Menü eines Videos im Feed oder in Watch hinzu und speichert das Video in der besten Qualität, die der Player streamt. Ist der Schalter aus oder Hushfacebook pausiert, zeigt das Menü nur Facebooks eigene Einträge.
