# Settings text, English on the left, Indonesian on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
%1$s destinations must start with %2$s	Tujuan %1$s harus diawali %2$s
%1$s isn't installed or doesn't take links	%1$s tidak terpasang atau tidak menerima tautan
%d languages excluded	%d bahasa dikecualikan
%s on	%s aktif
A creator pattern is taking too long and was switched off: %1$s	Ada pola kreator yang terlalu lama, jadi dimatikan: %1$s
A hidden puzzle may be the cause.	Teka-teki yang disembunyikan bisa jadi penyebabnya.
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Host pengganti tiktok.com saat kamu membagikan atau menyalin tautan, misalnya vxtiktok.com. Kosongkan untuk membagikan tautan TikTok sendiri. Hanya tautan TikTok yang diubah, dan hanya bagian host-nya, tidak ada yang dikirim ke mana pun.
A settings operation is already running	Sudah ada proses pengaturan yang berjalan
Completed an interrupted settings change. Restart TikTok to apply it.	Perubahan pengaturan yang terhenti telah diselesaikan. Mulai ulang TikTok untuk menerapkannya.
Recovered an interrupted settings change. Restart TikTok to apply it.	Perubahan pengaturan yang terhenti telah dipulihkan. Mulai ulang TikTok untuk menerapkannya.
Settings recovery needs attention. Use Undo or restore your backup.	Pemulihan pengaturan memerlukan perhatian. Gunakan Urungkan atau pulihkan cadanganmu.
Settings recovery could not finish. Use Undo or restore your backup.	Pemulihan pengaturan tidak dapat diselesaikan. Gunakan Urungkan atau pulihkan cadanganmu.
A tap on a person in the Send to row only selects them. A second tap on the same person within four seconds sends the video.	Satu ketukan pada orang di baris Kirim ke hanya memilihnya. Ketukan kedua pada orang yang sama dalam empat detik mengirim videonya.
About Hushfeed	Tentang Hushfeed
Add a block button to the video player that blocks the account that posted the current video in one tap. An undo action is shown after each block.	Tambahkan tombol blokir di pemutar video yang memblokir akun pengunggah video ini dalam satu ketukan. Aksi untuk mengurungkan muncul setelah tiap pemblokiran.
Add a button beside the block control to send feedback about the current video.	Tambahkan tombol di samping kontrol blokir untuk mengirim masukan tentang video ini.
Adds a custom option to TikTok's offline videos menu after restart.	Menambahkan opsi khusus ke menu video offline TikTok setelah mulai ulang.
Advance when a video ends	Lanjut saat video berakhir
All available languages	Semua bahasa yang tersedia
All loaded tabs	Semua tab yang dimuat
Allow Duet and Stitch anyway	Tetap izinkan Duet dan Stitch
Allow screenshots and Circle to Search	Izinkan tangkapan layar dan Circle to Search
Allowed bottom tabs	Tab bawah yang diizinkan
Allowed loaded tabs	Tab dimuat yang diizinkan
Already marked as not interested	Sudah ditandai sebagai tidak tertarik
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Terapkan filter ini juga ke video terunduh yang TikTok pakai saat feed tidak bisa memuat cukup konten baru.
Also override TikTok's region getters. Keeps your interface language. Requires Override SIM details and a restart; IP address and account rules still apply.	Timpa juga pembaca wilayah milik TikTok. Bahasa antarmukamu tidak berubah. Perlu Timpa detail SIM dan mulai ulang; aturan alamat IP dan akun tetap berlaku.
Always show publish date	Selalu tampilkan tanggal unggah
Always show the publish date in video author information. Requires restart.	Selalu tampilkan tanggal unggah di informasi pembuat video. Perlu mulai ulang.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	Nama paket sebuah aplikasi, misalnya com.dv.adm. Tombol simpan mengirim tautan video ke sana, bukan menyimpannya di sini. Kosongkan untuk menyimpan di sini.
An operator code is five or six digits, like 310260	Kode operator itu lima atau enam angka, misalnya 310260
Animated sticker format	Format stiker animasi
App behavior	Perilaku aplikasi
Applies to both video and photo downloads.	Berlaku untuk unduhan video dan foto.
Apply to video downloads and image downloads.	Berlaku untuk unduhan video dan unduhan gambar.
Arrange your feed and bottom tabs	Atur feed dan tab bawahmu
Auto translate comments	Terjemahkan komentar otomatis
Automatic	Otomatis
Automatic clear display	Tampilan bersih otomatis
Automatically translates loaded comment batches using TikTok's translation system.	Menerjemahkan komentar yang dimuat secara otomatis lewat sistem terjemahan TikTok.
Back	Kembali
Back up settings	Cadangkan pengaturan
Backups and troubleshooting	Cadangan dan pemecahan masalah
Black	Hitam
Block new bottom tabs	Blokir tab bawah yang baru
Block new TikTok tabs	Blokir tab TikTok yang baru
Blocked %1$s	%1$s diblokir
Blocked caption words	Kata yang diblokir di keterangan
Blocked comment words	Kata komentar yang diblokir
Blocked creators	Kreator yang diblokir
Blocked sound ids	Id suara yang diblokir
Blocked sound names	Nama suara yang diblokir
Browse	Telusuri
Cancel	Batal
Caption background	Latar keterangan
Caption text size	Ukuran teks keterangan
Captions, gestures and on-screen controls	Keterangan, gestur, dan kontrol di layar
Capture crash reports locally	Rekam laporan mogok di perangkat
Checked languages keep their original comments. TikTok's current catalog is supplemented by languages bundled with this app version.	Komentar dalam bahasa yang dicentang dibiarkan apa adanya. Daftar TikTok sekarang ditambah bahasa yang dibawa versi aplikasi ini.
Choose 1-1000 videos. Values outside this range use the nearest valid limit. Restart TikTok after saving.	Pilih 1 sampai 1000 video. Nilai di luar rentang ini memakai batas sah terdekat. Mulai ulang TikTok setelah menyimpan.
Choose a backup file. Your current settings are kept for Undo.	Pilih berkas cadangan. Pengaturanmu yang sekarang disimpan untuk Urungkan.
Choose what reaches your feed	Pilih apa yang sampai ke feed-mu
Choose which loaded TikTok bottom navigation tabs should stay visible.	Pilih tab navigasi bawah TikTok mana yang tetap terlihat.
Choose which loaded TikTok feed tabs should stay visible.	Pilih tab feed TikTok mana yang tetap terlihat.
Choose which rows and controls appear	Pilih baris dan kontrol yang muncul
Clear	Hapus
Clear all	Hapus semua
Clear all suggested accounts	Hapus semua akun yang disarankan
