%1$d already matched	%1$d ya coincidían
%1$d areas were checked and everything they need is here.	Se comprobaron %1$d áreas y está todo lo que necesitan.
%1$d fields overridden	%1$d campos sobrescritos
%1$d fields will be overridden when requested	%1$d campos se sobrescribirán cuando se soliciten
%1$d gates selected	%1$d interruptores seleccionados
%1$d minutes left	Quedan %1$d minutos
%1$d rejected	%1$d rechazados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados hasta ahora
%1$d results so far, and more not counted	%1$d resultados hasta ahora, y más sin contar
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d ajuste no estaba en ese archivo y se dejó como estaba
%1$d settings were not in that file and were left as they are	%1$d ajustes no estaban en ese archivo y se dejaron como estaban
%1$d unavailable	%1$d no disponibles
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor de TikTok)
%1$s (custom, unverified)	%1$s (personalizado, sin verificar)
%1$s (override returned)	%1$s (se devolvió la sobrescritura)
%1$s (will be returned when requested)	%1$s (se devolverá cuando se solicite)
%1$s / current cache only	%1$s / solo caché actual
%1$s / generated registry	%1$s / registro generado
%1$s / generated registry and current cache	%1$s / registro generado y caché actual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s y superior
%1$s appears more than once in this file.	%1$s aparece más de una vez en este archivo.
%1$s changed	%1$s cambiados
%1$s is already hidden	%1$s ya está oculto
%1$s destinations must start with %2$s	Los destinos de %1$s deben empezar por %2$s
%1$s has an invalid value. %2$s	%1$s tiene un valor no válido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s es un tipo de valor que el Lab no puede sustituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tiene el tipo %2$s, pero el archivo indica %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s no es un código de país, así que ningún vídeo coincidiría nunca. Usa dos letras, como GB, IE o US.
%1$s is not in this Lab catalog.	%1$s no está en este catálogo del Lab.
%1$s isn't installed or doesn't take links	%1$s no está instalado o no acepta enlaces
%1$s left	Queda %1$s
%1$s min left	Quedan %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Quedan %1$s videos
%1$s was rejected. %2$s	%1$s fue rechazado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seleccionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltan
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar. El primero que faltó: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan. El primero que faltó: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo sobrescrito
1 field will be overridden when requested	1 campo se sobrescribirá cuando se solicite
1 gate selected	1 interruptor seleccionado
1 min left	Queda 1 min
1 result	1 resultado
1 result so far	1 resultado hasta ahora
1 video left	Queda 1 video
A Lab change is already running	Ya se está ejecutando un cambio del Lab
A creator pattern is taking too long and was turned off: %1$s	Un patrón de creador tarda demasiado y se ha desactivado: %1$s
A diagnostic report is already being saved	Ya se está guardando un informe de diagnóstico
A field value couldn't be read. Check the values and try again.	No se pudo leer el valor de un campo. Revisa los valores e inténtalo de nuevo.
A good place to stop, if you want one.	Un buen momento para parar, si quieres uno.
A green dot in the top corner while TikTok has the camera open and an orange one while it records sound. They go when the access ends.	Un punto verde en la esquina superior mientras TikTok tiene la cámara abierta y uno naranja mientras graba sonido. Desaparecen cuando termina el acceso.
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Un host que sustituya a tiktok.com al compartir o copiar un enlace, como vxtiktok.com. Déjalo vacío para compartir los enlaces de TikTok. Solo cambian los enlaces de TikTok, y solo el host: no se envía nada a ningún sitio nuevo.
A newer clear replaced that undo. Tap the row again to undo.	Un borrado más reciente sustituyó ese deshacer. Toca la fila otra vez para deshacerlo.
A small label on the feed shows the minutes or videos left of today's budget, whichever is closer to running out.	Una pequeña etiqueta en el feed muestra los minutos o videos restantes del presupuesto de hoy.
A tap on Home or on the For You tab while For You is showing no longer reloads it. The video you're on stays.	Tocar Inicio o la pestaña Para ti mientras se muestra Para ti ya no lo recarga. El vídeo que estás viendo se queda.
A tap on a person in the Send to row only selects them. A second tap on the same person within %1$d seconds sends the video.	Al tocar a una persona en la fila Enviar a solo se la selecciona. Un segundo toque sobre la misma persona antes de %1$d segundos envía el vídeo.
A web address someone left in a comment can be tapped instead of copied out by hand. Tapping anywhere else in the comment still does what it did.	Una dirección web escrita en un comentario se puede tocar en lugar de copiarla a mano. Tocar en cualquier otra parte del comentario sigue haciendo lo de siempre.
AI-generated posts	Publicaciones generadas por IA
About	Acerca de
A forced value applies to this copy of TikTok whichever account is signed in. It cannot get past a check the server makes.	Un valor forzado se aplica a esta copia de TikTok, sea cual sea la cuenta con sesión iniciada. No puede saltarse una comprobación que haga el servidor.
Leave when TikTok says time is up	Salir cuando TikTok diga que se acabó el tiempo
No app on this phone opens that file	Ninguna app de este teléfono abre ese archivo
Open	Abrir
This key touches account safety. Forcing it can change login, region, payment or security checks.	Esta clave afecta a la protección de la cuenta. Forzarla puede cambiar las comprobaciones de inicio de sesión, región, pagos o seguridad.
Activity	Actividad
Activity center (PIA)	Centro de actividad (PIA)
Add	Añadir
