resource_id,resource_type,key,item_qualifier,source,source_language,format_tokens,formatted,markup,en_markup,screen_hint,source_kind,en,en_status,reviewer,notes
0x7f030000,string-array,exo_controls_playback_speeds,0,0.25x,en,,,,,exo,resource,0.25x,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,1,0.5x,en,,,,,exo,resource,0.5x,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,2,0.75x,en,,,,,exo,resource,0.75x,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,3,Normal,en,,,,,exo,resource,Normal,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,4,1.25x,en,,,,,exo,resource,1.25x,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,5,1.5x,en,,,,,exo,resource,1.5x,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,6,2x,en,,,,,exo,resource,2x,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f110000,plurals,exo_controls_fastforward_by_amount_description,one,Fast forward %d second,en,%d,,,,exo,resource,Fast forward %d second,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f110000,plurals,exo_controls_fastforward_by_amount_description,other,Fast forward %d seconds,en,%d,,,,exo,resource,Fast forward %d seconds,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f110001,plurals,exo_controls_rewind_by_amount_description,one,Rewind %d second,en,%d,,,,exo,resource,Rewind %d second,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f110001,plurals,exo_controls_rewind_by_amount_description,other,Rewind %d seconds,en,%d,,,,exo,resource,Rewind %d seconds,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f110002,plurals,mtrl_badge_content_description,one,%d new notification,en,%d,,,,mtrl,resource,%d new notification,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f110002,plurals,mtrl_badge_content_description,other,%d new notifications,en,%d,,,,mtrl,resource,%d new notifications,source_verified,source passthrough + deterministic QA,Structured resource shape preserved from original APK
0x7f130000,string,abc_action_bar_home_description,,Navigate home,en,,,,,abc,resource,Navigate home,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130001,string,abc_action_bar_up_description,,Navigate up,en,,,,,abc,resource,Navigate up,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130002,string,abc_action_menu_overflow_description,,More options,en,,,,,abc,resource,More options,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130003,string,abc_action_mode_done,,Done,en,,,,,abc,resource,Done,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f130004,string,abc_activity_chooser_view_see_all,,See all,en,,,,,abc,resource,See all,source_verified,source passthrough + deterministic QA,User-visible static UI; menu
0x7f130005,string,abc_activitychooserview_choose_application,,Choose an app,en,,,,,abc,resource,Choose an app,source_verified,source passthrough + deterministic QA,User-visible static UI; dialog
