resource_id,resource_type,key,item_qualifier,source,source_language,format_tokens,formatted,markup,ko_markup,screen_hint,source_kind,ko,ko_status,reviewer,notes
0x7f030000,string-array,exo_controls_playback_speeds,0,0.25x,en,,,,,exo,resource,0.25x,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,1,0.5x,en,,,,,exo,resource,0.5x,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,2,0.75x,en,,,,,exo,resource,0.75x,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,3,Normal,en,,,,,exo,resource,기본,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,4,1.25x,en,,,,,exo,resource,1.25x,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,5,1.5x,en,,,,,exo,resource,1.5x,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f030000,string-array,exo_controls_playback_speeds,6,2x,en,,,,,exo,resource,2x,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f110000,plurals,exo_controls_fastforward_by_amount_description,one,Fast forward %d second,en,%d,,,,exo,resource,%d초 빨리 감기,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f110000,plurals,exo_controls_fastforward_by_amount_description,other,Fast forward %d seconds,en,%d,,,,exo,resource,%d초 빨리 감기,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f110001,plurals,exo_controls_rewind_by_amount_description,one,Rewind %d second,en,%d,,,,exo,resource,%d초 되감기,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f110001,plurals,exo_controls_rewind_by_amount_description,other,Rewind %d seconds,en,%d,,,,exo,resource,%d초 되감기,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f110002,plurals,mtrl_badge_content_description,one,%d new notification,en,%d,,,,mtrl,resource,%d개의 새 알림,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f110002,plurals,mtrl_badge_content_description,other,%d new notifications,en,%d,,,,mtrl,resource,%d개의 새 알림,machine_verified,manual + deterministic QA,Structured resource shape preserved from original APK
0x7f130000,string,abc_action_bar_home_description,,Navigate home,en,,,,,abc,resource,홈으로 이동,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; accessibility
0x7f130001,string,abc_action_bar_up_description,,Navigate up,en,,,,,abc,resource,위로 이동,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; accessibility
0x7f130002,string,abc_action_menu_overflow_description,,More options,en,,,,,abc,resource,옵션 더보기,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; accessibility
0x7f130003,string,abc_action_mode_done,,Done,en,,,,,abc,resource,완료,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; button
0x7f130004,string,abc_activity_chooser_view_see_all,,See all,en,,,,,abc,resource,모두 보기,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; menu
0x7f130005,string,abc_activitychooserview_choose_application,,Choose an app,en,,,,,abc,resource,앱 선택,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; dialog
0x7f130006,string,abc_capital_off,,OFF,en,,,,,abc,resource,꺼짐,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; status
0x7f130007,string,abc_capital_on,,ON,en,,,,,abc,resource,켜짐,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; status
0x7f130008,string,abc_menu_alt_shortcut_label,,Alt+,en,,,,,abc,resource,Alt+,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; shortcut
0x7f130009,string,abc_menu_ctrl_shortcut_label,,Ctrl+,en,,,,,abc,resource,Ctrl+,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; shortcut
0x7f13000a,string,abc_menu_delete_shortcut_label,,delete,en,,,,,abc,resource,Delete,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; shortcut
0x7f13000b,string,abc_menu_enter_shortcut_label,,enter,en,,,,,abc,resource,Enter,machine_verified,GPT-5.5 + deterministic QA,User-visible static UI; shortcut
