# Brazilian Portuguese for Hushfacebook: the English key, a tab, the translation. One row per string.
# After editing, run python scripts/gen-l10n.py from the repository root.
"Pages you may like" and Facebook's own upsell cards. The in-feed surveys go too.	“Páginas que você talvez curta” e os blocos de autopromoção do Facebook. As pesquisas no feed também somem.
%1$d item in that file isn't a setting this version of Hushfacebook knows, so it'll be left out.	%1$d item desse arquivo não é uma configuração que esta versão do Hushfacebook conhece, então vai ficar de fora.
%1$d items in that file aren't settings this version of Hushfacebook knows, so they'll be left out.	%1$d itens desse arquivo não são configurações que esta versão do Hushfacebook conhece, então vão ficar de fora.
%1$d switch will change.	%1$d opção vai mudar.
%1$d switches will change.	%1$d opções vão mudar.
%1$s of %2$s	%1$s de %2$s
%1$s so far	%1$s até agora
%1$s. It was set when you patched, so Pause can't turn it off. To rule it out, patch again without the patch it comes from.	%1$s. Isso foi definido quando você aplicou os patches, então a pausa não consegue desligá-lo. Para descartar isso como causa, aplique os patches de novo sem o patch responsável.
%1$s. They were set when you patched, so Pause can't turn them off. To rule one out, patch again without the patch it comes from.	%1$s. Tudo isso foi definido quando você aplicou os patches, então a pausa não consegue desligar nada disso. Para descartar um desses itens como causa, aplique os patches de novo sem o patch responsável por ele.
A diagnostic report is already being saved.	Um relatório de diagnóstico já está sendo salvo.
A Download button in the sidebar of every reel saves it at the best quality the player streams. Off or paused, reels show only Facebook's own buttons.	Um botão de download na barra lateral de cada reel salva o reel na melhor qualidade que o player reproduz. Com esta opção desligada ou durante a pausa, os reels só mostram os botões do próprio Facebook.
A file named %1$s in %2$s paused Hushfacebook.	Um arquivo chamado %1$s em %2$s pausou o Hushfacebook.
About	Sobre
Ad cards between the stories people posted.	Anúncios entre os stories que as pessoas postaram.
Ad telemetry blocked	Telemetria de anúncios bloqueada
Adds Download to phone to the menu of a video in the feed or in Watch, below Facebook's own items, and saves at the best quality the player streams. Off or paused, the menu is Facebook's own.	Adiciona o item Baixar no celular ao menu de um vídeo no feed ou no Watch, abaixo dos itens do próprio Facebook, e salva na melhor qualidade que o player reproduz. Com esta opção desligada ou durante a pausa, o menu só mostra os itens do próprio Facebook.
Adds Save to the menu of anyone's story, and saves at the best quality the player streams. Off or paused, only your own stories have Save, and it's Facebook's own.	Adiciona o item Salvar ao menu do story de qualquer pessoa e salva na melhor qualidade que o player reproduz. Com esta opção desligada ou durante a pausa, o item Salvar só aparece nos seus próprios stories, e quem salva é o próprio Facebook.
Ads that arrive inside a page of reels. Banners and mid-rolls stay blocked while the patch is in, whatever this switch or Pause says. So do ads the app adds on its own.	Anúncios que chegam dentro de um lote de reels. Banners e anúncios no meio do vídeo continuam bloqueados enquanto o patch estiver aplicado, independentemente desta opção ou da pausa. O mesmo vale para os anúncios que o app adiciona por conta própria.
AMOLED black theme	Tema preto AMOLED
Audience Network off	Audience Network desativado
Back	Voltar
Background ad prefetch blocked	Pré-carregamento de anúncios em segundo plano bloqueado
Cancel	Cancelar
Changing these	Como mudar esses itens
Choose a settings file. You'll see how many switches it changes before anything does.	Escolha um arquivo de configurações. Você vai ver quantas opções ele muda antes de qualquer alteração.
Clear diagnostic data	Limpar dados de diagnóstico
Copy a short report, or save the full one to Download/Morphe. Links, account and post ids, session cookies and names are left out.	Copie um relatório curto ou salve o completo em Download/Morphe. Links, IDs de conta e de post, cookies de sessão e nomes ficam de fora.
Copy quick report	Copiar relatório rápido
Couldn't import every setting. Check the switches on this screen.	Não foi possível importar todas as configurações. Confira as opções nesta tela.
Couldn't import the settings. Nothing was changed.	Não foi possível importar as configurações. Nada foi alterado.
Couldn't open that file. Nothing was changed.	Não foi possível abrir esse arquivo. Nada foi alterado.
Couldn't open the file picker. Try again.	Não foi possível abrir o seletor de arquivos. Tente de novo.
Couldn't put back the diagnostic data. Try again.	Não foi possível restaurar os dados de diagnóstico. Tente de novo.
Couldn't save the settings file. Try again.	Não foi possível salvar o arquivo de configurações. Tente de novo.
Couldn't save this video. Play it for a moment, then try again.	Não foi possível salvar este vídeo. Reproduza por alguns instantes e tente de novo.
Couldn't start that. Try again in a moment.	Não foi possível iniciar isso. Tente de novo em instantes.
Couldn't start the report export. Try again shortly.	Não foi possível iniciar a exportação do relatório. Tente de novo daqui a pouco.
Dark mode draws black instead of dark grey. Turn on dark mode in Facebook to see it.	O modo escuro fica preto em vez de cinza-escuro. Ative o modo escuro no Facebook para ver.
Debug logging	Registro de depuração
Diagnostic data cleared. Tap again to put it back.	Dados de diagnóstico apagados. Toque de novo para restaurá-los.
Diagnostic data put back.	Dados de diagnóstico restaurados.
Diagnostic report copied to the clipboard.	Relatório de diagnóstico copiado para a área de transferência.
Download	Baixar
Download button on reels	Botão de download nos reels
Download failed	Falha no download
Download feed and Watch videos	Baixar vídeos do feed e do Watch
Download to phone	Baixar no celular
Downloads	Downloads
Empties the log and the filter counts a report would include.	Apaga o registro e as contagens dos filtros que iriam para um relatório.
Every switch but Debug logging acts as if it were off, and what was set when you patched stays in. Your settings stay as they are.	Todas as opções, menos o Registro de depuração, funcionam como se estivessem desligadas, e o que foi definido ao aplicar os patches continua ativo. Suas configurações ficam como estão.
Export diagnostic report	Exportar relatório de diagnóstico
Export settings	Exportar configurações
Facebook closed three times within a minute of starting, so Hushfacebook paused itself.	O Facebook fechou três vezes no primeiro minuto depois de abrir, então o Hushfacebook entrou em pausa automaticamente.
Facebook doesn't download ads or its ad model in the background.	O Facebook não baixa anúncios nem o modelo de anúncios dele em segundo plano.
Facebook doesn't serve ads to other apps on this phone.	O Facebook não envia anúncios para outros apps deste celular.
Facebook's dark mode takes its colours from your wallpaper, and this screen does too. Android 11 has no wallpaper colours, so it gets a fixed blue palette. Turn on dark mode in Facebook to see it.	O modo escuro do Facebook usa as cores do seu plano de fundo, e esta tela também. O Android 11 não tem cores de plano de fundo, então usa uma paleta azul fixa. Ative o modo escuro no Facebook para ver.
From the next start, every switch above acts as if it were off, and Facebook's own code runs in its place. Debug logging keeps working, and your settings stay as they are.	A partir da próxima abertura, todas as opções acima funcionam como se estivessem desligadas, e o código do próprio Facebook roda no lugar. O Registro de depuração continua funcionando, e suas configurações ficam como estão.
Full report saved to %1$s	Relatório completo salvo em %1$s
GPL-3.0, with the notices of the projects this is built on	GPL-3.0, com os avisos dos projetos em que o Hushfacebook se baseia
Hide "People you may know"	Ocultar “Pessoas que você talvez conheça”
Hide "Suggested for you" posts	Ocultar publicações “Sugestões para você”
Hide AI-detected posts	Ocultar posts detectados como IA
Hide promoted posts	Ocultar posts promovidos
Hide Reels in the feed	Ocultar reels no feed
Hide sponsored posts	Ocultar posts patrocinados
Hide sponsored reels	Ocultar reels patrocinados
Hide sponsored stories	Ocultar stories patrocinados
Hide suggested and promoted units	Ocultar blocos de sugestões e promoções
Hide the Stories tray	Ocultar a bandeja de stories
How far a photo or video you're saving has got, with a button to cancel it	O progresso da foto ou do vídeo que você está salvando, com um botão para cancelar
Hushfacebook %1$s on Facebook %2$s	Hushfacebook %1$s no Facebook %2$s
Hushfacebook is on	O Hushfacebook está ativo
Hushfacebook is paused	O Hushfacebook está pausado
Hushfacebook saves	Salvamentos do Hushfacebook
Hushfacebook settings	Configurações do Hushfacebook
Hushfacebook settings couldn't open	Não foi possível abrir as configurações do Hushfacebook
Hushfacebook turns back on when Facebook restarts.	O Hushfacebook será reativado quando o Facebook reiniciar.
Import	Importar
Import settings	Importar configurações
Importing settings	Importando as configurações
Licenses	Licenças
Link expired. Reopen the item and try again	Link expirado. Reabra o item e tente de novo
Links	Links
Material You theme	Tema Material You
News feed	Feed de notícias
No matching diagnostics found.	Nenhum diagnóstico correspondente encontrado.
No screenshot watching for ads, and no reports of which apps you install.	Sem monitoramento de capturas de tela de anúncios e sem relatórios sobre quais apps você instala.
Not saved: that isn't a Facebook photo or video	Não foi salvo: isso não é uma foto nem um vídeo do Facebook
Not saved: the file is over 512 MB	Não foi salvo: o arquivo tem mais de 512 MB
OK	OK
One folder name for your saves. Slashes and other characters a folder name can't hold become underscores. Leave it empty to use %1$s.	Um nome de pasta para o que você salvar. Barras e outros caracteres que um nome de pasta não aceita viram sublinhados. Deixe em branco para usar %1$s.
Open links in your browser	Abrir links no seu navegador
Paid ads in the feed. They're dropped before Facebook adds them, so no gap is left.	Anúncios pagos no feed. São removidos antes de o Facebook adicioná-los, então não fica nenhum espaço vazio.
Pause Hushfacebook	Pausar o Hushfacebook
Posts Facebook files as promotions rather than as ads.	Posts que o Facebook classifica como promoções, e não como anúncios.
Posts Facebook slips into your feed from people and pages you don't follow and groups you haven't joined.	Publicações de pessoas e Páginas que você não segue e de grupos dos quais você não participa, que o Facebook coloca no seu feed.
