source,target
%1$d already matched,%1$d already matched
%1$d areas were checked and everything they need is here.,%1$d areas were checked and everything they need is here.
%1$d fields overridden,%1$d fields overridden
%1$d fields will be overridden when requested,%1$d fields will be overridden when requested
%1$d gates selected,%1$d gates selected
%1$d minutes left,%1$d minutes left
%1$d rejected,%1$d rejected
%1$d results,%1$d results
%1$d results so far,%1$d results so far
"%1$d results so far, and more not counted","%1$d results so far, and more not counted"
"%1$d results, filtered to %2$s","%1$d results, filtered to %2$s"
%1$d setting was not in that file and was left as it is,%1$d setting was not in that file and was left as it is
%1$d settings were not in that file and were left as they are,%1$d settings were not in that file and were left as they are
%1$d unavailable,%1$d unavailable
%1$s (%2$s),%1$s (%2$s)
%1$s (TikTok value),%1$s (TikTok value)
"%1$s (custom, unverified)","%1$s (custom, unverified)"
%1$s (override returned),%1$s (override returned)
%1$s (will be returned when requested),%1$s (will be returned when requested)
%1$s / current cache only,%1$s / current cache only
%1$s / generated registry,%1$s / generated registry
%1$s / generated registry and current cache,%1$s / generated registry and current cache
%1$s / local catalog,%1$s / local catalog
%1$s and above,%1$s and above
%1$s appears more than once in this file.,%1$s appears more than once in this file.
%1$s changed,%1$s changed
%1$s day,%1$s day
%1$s days,%1$s days
%1$s destinations must start with %2$s,%1$s destinations must start with %2$s
%1$s dp,%1$s dp
%1$s has an invalid value. %2$s,%1$s has an invalid value. %2$s
"%1$s has type %2$s, but the file says %3$s.","%1$s has type %2$s, but the file says %3$s."
"%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted.","%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted."
%1$s is a kind of value the Lab cannot override.,%1$s is a kind of value the Lab cannot override.
%1$s is already hidden,%1$s is already hidden
"%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.","%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US."
%1$s is not in this Lab catalog.,%1$s is not in this Lab catalog.
%1$s isn't installed or doesn't take links,%1$s isn't installed or doesn't take links
%1$s left,%1$s left
%1$s millisecond,%1$s millisecond
%1$s milliseconds,%1$s milliseconds
%1$s min left,%1$s min left
%1$s minute,%1$s minute
%1$s minutes,%1$s minutes
%1$s point,%1$s point
%1$s points,%1$s points
%1$s s,%1$s s
%1$s second,%1$s second
%1$s seconds,%1$s seconds
%1$s time,%1$s time
%1$s times,%1$s times
%1$s to %2$s,%1$s to %2$s
%1$s video,%1$s video
%1$s videos,%1$s videos
