%1$d already matched	%1$d já coincidiam
%1$d areas were checked and everything they need is here.	%1$d áreas foram verificadas e tudo de que precisam está aqui.
%1$d fields overridden	%1$d campos substituídos
%1$d fields will be overridden when requested	%1$d campos serão substituídos quando solicitados
%1$d gates selected	%1$d gates selecionados
%1$d minutes left	Restam %1$d minutos
%1$d rejected	%1$d rejeitados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados até agora
%1$d results so far, and more not counted	%1$d resultados até agora, e mais não contados
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d configuração não estava nesse arquivo e ficou como estava
%1$d settings were not in that file and were left as they are	%1$d configurações não estavam nesse arquivo e ficaram como estavam
%1$d unavailable	%1$d indisponíveis
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor do TikTok)
%1$s (custom, unverified)	%1$s (personalizado, não verificado)
%1$s (override returned)	%1$s (substituição retornada)
%1$s (will be returned when requested)	%1$s (será retornado quando solicitado)
%1$s / current cache only	%1$s / somente cache atual
%1$s / generated registry	%1$s / registro gerado
%1$s / generated registry and current cache	%1$s / registro gerado e cache atual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s ou superior
%1$s appears more than once in this file.	%1$s aparece mais de uma vez neste arquivo.
%1$s changed	%1$s alterados
%1$s is already hidden	%1$s já está escondido
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s has an invalid value. %2$s	%1$s tem um valor inválido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s é um tipo de valor que o Lab não consegue substituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tem o tipo %2$s, mas o arquivo informa %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s não é um código de país, então nenhum vídeo combinaria com ele. Use duas letras, como GB, IE ou US.
%1$s is not in this Lab catalog.	%1$s não está neste catálogo do Lab.
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s min left	Restam %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Restam %1$s vídeos
%1$s was rejected. %2$s	%1$s foi rejeitado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, selecionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltando
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar. O primeiro que faltou: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando. O primeiro que faltou: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo substituído
1 field will be overridden when requested	1 campo será substituído quando solicitado
1 gate selected	1 gate selecionado
1 min left	Resta 1 min
1 result	1 resultado
1 result so far	1 resultado até agora
1 video left	Resta 1 vídeo
A Lab change is already running	Já há uma mudança do Lab em andamento
A creator pattern is taking too long and was turned off: %1$s	Um padrão de criador está demorando demais e foi desligado: %1$s
A diagnostic report is already being saved	Um relatório de diagnóstico já está sendo salvo
A field value couldn't be read. Check the values and try again.	Não foi possível ler o valor de um campo. Verifique os valores e tente novamente.
A good place to stop, if you want one.	Uma boa hora para parar, se você quiser uma.
A green dot in the top corner while TikTok has the camera open and an orange one while it records sound. They go when the access ends.	Um ponto verde no canto superior enquanto o TikTok está com a câmera aberta e um laranja enquanto grava som. Eles somem quando o acesso termina.
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Um host para colocar no lugar de tiktok.com ao compartilhar ou copiar um link, como vxtiktok.com. Deixe vazio para compartilhar os links do próprio TikTok. Só os links do TikTok mudam, e só o host: nada é enviado para nenhum lugar novo.
A newer clear replaced that undo. Tap the row again to undo.	Uma limpeza mais recente substituiu esse desfazer. Toque na linha de novo para desfazer.
A small label on the feed shows the minutes or videos left of today's budget, whichever is closer to running out.	Um rótulo pequeno no feed mostra os minutos ou vídeos restantes do orçamento de hoje.
A tap on Home or on the For You tab while For You is showing no longer reloads it. The video you're on stays.	Tocar em Início ou na aba Para você enquanto Para você está aberto não recarrega mais o feed. O vídeo que você está vendo continua.
A tap on a person in the Send to row only selects them. A second tap on the same person within %1$d seconds sends the video.	Tocar em alguém na linha Enviar para apenas seleciona a pessoa. Um segundo toque na mesma pessoa dentro de %1$d segundos envia o vídeo.
A video you paused stays paused when you come back to the app instead of starting again. One you left playing starts as usual. It works on Android 10 and newer.	Um vídeo que você pausou continua pausado quando você volta ao app em vez de recomeçar. Um que ficou tocando começa como sempre. Funciona a partir do Android 10.
A web address someone left in a comment can be tapped instead of copied out by hand. Tapping anywhere else in the comment still does what it did.	Um endereço da web deixado em um comentário pode ser tocado em vez de copiado na mão. Tocar em qualquer outra parte do comentário continua fazendo o de sempre.
AI-generated posts	Publicações geradas por IA
About	Sobre
A forced value applies to this copy of TikTok whichever account is signed in. It cannot get past a check the server makes.	Um valor forçado vale para esta cópia do TikTok, seja qual for a conta conectada. Ele não passa por cima de uma verificação feita pelo servidor.
Leave when TikTok says time is up	Sair quando o TikTok disser que o tempo acabou
No app on this phone opens that file	Nenhum app neste celular abre esse arquivo
Open	Abrir
This key touches account safety. Forcing it can change login, region, payment or security checks.	Esta chave mexe com a proteção da conta. Forçá-la pode mudar as verificações de login, região, pagamento ou segurança.
Activity	Atividade
Activity center (PIA)	Centro de atividade (PIA)
Add	Adicionar
Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts.	Bloqueie o criador com um toque. Quando o TikTok confirmar, vá para o próximo vídeo. Um pequeno botão Desbloquear aparece no canto superior esquerdo por dois segundos. Você também pode desbloquear depois em Privacidade > Contas bloqueadas do TikTok.
TikTok's own daily screen-time reminder sends the app to the background instead of waiting to be dismissed. Coming straight back leaves the reminder on screen, so the limit stays reachable. Needs a daily limit set under TikTok's Settings and privacy, under Time and well-being.	O próprio lembrete diário de tempo de tela do TikTok manda o app para o segundo plano em vez de esperar ser dispensado. Se você voltar logo em seguida, o lembrete fica na tela, para o limite continuar ao alcance. Precisa de um limite diário em Configurações e privacidade do TikTok, em Tempo e bem-estar.
Unblock	Desbloquear
Add a button beside the block control to send feedback about the current video.	Adiciona um botão ao lado do controle de bloqueio para enviar feedback sobre o vídeo atual.
Add a creator	Adicionar um criador
Add a button that hides the current creator on this phone without blocking them.	Adiciona um botão que esconde o criador atual neste aparelho sem bloqueá-lo.
Add a separate button that skips videos using the current sound.	Adiciona um botão separado que ignora vídeos que usam o som atual.
Add hidden creator	Adicionar criador oculto
Added %1$s	%1$s adicionado
Ads	Anúncios
Auto-advance videos	Avançar vídeos automaticamente
Advanced	Avançado
Advanced JSON value	Valor JSON avançado
All	Todos
All available languages	Todos os idiomas disponíveis
All events	Todos os eventos
All loaded tabs	Todas as abas carregadas
Allow Duet and Stitch anyway	Permitir Dueto e Costura mesmo assim
Allow screenshots and Circle to Search	Permitir capturas de tela e Círculo para pesquisar
Allow storage for TikTok in Android settings to save profile pictures	É preciso permissão de armazenamento para salvar uma foto de perfil
Allow storage for TikTok in Android settings to save sounds	É preciso permissão de armazenamento para salvar um som
Allow storage for TikTok in Android settings to save stories	É preciso permissão de armazenamento para salvar um story
Bottom tabs to keep	Abas inferiores para manter
Already marked as not interested	Já marcado como não tenho interesse
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Aplicar esses filtros também aos vídeos baixados que o TikTok usa quando o feed não consegue carregar itens novos suficientes.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.	Também muda a região que o TikTok informa internamente. Mantém o idioma da interface. Seu endereço IP e as regras da sua conta continuam valendo.
Always show publish date	Sempre mostrar a data de publicação
Always show the publish date in video author information. Restart TikTok to apply this.	Sempre mostrar a data de publicação nas informações do autor do vídeo. Reinicie o TikTok para aplicar.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	O nome de pacote de um app, como com.dv.adm. O botão de salvar manda o link do vídeo para lá em vez de salvar aqui. Deixe vazio para salvar aqui.
An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup.	Uma alteração de configurações interrompida não pôde ser recuperada, então seu registro foi posto de lado. Confira suas configurações ou restaure um backup.
An operator code is five or six digits, like 310260	Um código de operadora tem cinco ou seis dígitos, como 310260
An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.	Uma substituição muda o valor que o TikTok lê deste gate. Ela não reescreve o valor que o TikTok tem em cache nem prova que o recurso citado mudou.
Animated sticker format	Formato dos stickers animados
Answer TikTok's location requests with nothing. The region settings change the locale and timezone; this stops the coordinates.	Responde aos pedidos de localização do TikTok com nada. As configurações de região mudam o local e o fuso horário; isto barra as coordenadas.
Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.	Responde às leituras dos seus contatos pelo TikTok com uma lista vazia. Encontrar amigos e Pessoas que você talvez conheça perdem o acesso à sua lista de contatos.
Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone.	Responde à varredura dos apps deste telefone pelo TikTok com uma lista vazia. A verificação de um app específico, que o TikTok também usa para abrir um app que você toca, é deixada em paz.
App	Aplicativo
App AB	AB do app
Appearance	Aparência
Applies to both video and photo downloads.	Vale tanto para os downloads de vídeo quanto para os de fotos.
Apply	Aplicar
