%1$d minutes left	Restam %1$d minutos
%1$d setting was not in that file and was left as it is.	%1$d configuração não estava nesse arquivo e ficou como estava.
%1$d settings were not in that file and were left as they are.	%1$d configurações não estavam nesse arquivo e ficaram como estavam.
%1$s and above	%1$s ou superior
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s on	%1$s ativados
%1$s to %2$s	De %1$s a %2$s
A creator pattern is taking too long and was switched off: %1$s	Um padrão de criador está demorando demais e foi desligado: %1$s
A good place to stop, if you want one.	Uma boa hora para parar, se você quiser uma.
A hidden puzzle may be the cause.	Talvez a causa seja um quebra-cabeça escondido.
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Um host para colocar no lugar de tiktok.com ao compartilhar ou copiar um link, como vxtiktok.com. Deixe vazio para compartilhar os links do próprio TikTok. Só os links do TikTok mudam, e só o host: nada é enviado para nenhum lugar novo.
A settings operation is already running	Já existe uma operação de configurações em andamento
A tap on a person in the Send to row only selects them. A second tap on the same person within four seconds sends the video.	Tocar em alguém na linha Enviar para apenas seleciona a pessoa. Um segundo toque na mesma pessoa dentro de quatro segundos envia o vídeo.
AI-generated posts	Publicações geradas por IA
Add	Adicionar
Add a block button to the video player that blocks the account that posted the current video in one tap. An undo action is shown after each block.	Adiciona um botão de bloqueio ao player que bloqueia com um toque a conta que publicou o vídeo atual. Depois de cada bloqueio aparece uma ação para desfazer.
Add a button beside the block control to send feedback about the current video.	Adiciona um botão ao lado do controle de bloqueio para enviar feedback sobre o vídeo atual.
Add hidden creator	Adicionar criador oculto
Ads	Anúncios
Advance when a video ends	Avançar quando um vídeo termina
All available languages	Todos os idiomas disponíveis
All loaded tabs	Todas as abas carregadas
Allow Duet and Stitch anyway	Permitir Dueto e Costura mesmo assim
Allow screenshots and Circle to Search	Permitir capturas de tela e Círculo para pesquisar
Allowed bottom tabs	Abas inferiores permitidas
Already marked as not interested	Já marcado como não tenho interesse
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Aplicar esses filtros também aos vídeos baixados que o TikTok usa quando o feed não consegue carregar itens novos suficientes.
Also change the region TikTok reports internally. Keeps your interface language. Needs Override SIM details and a restart; your IP address and your account's own rules still apply.	Também muda a região que o TikTok informa internamente. Mantém o idioma da interface. Precisa de Substituir os dados do SIM e de reiniciar; seu endereço IP e as regras da sua conta continuam valendo.
Always show publish date	Sempre mostrar a data de publicação
Always show the publish date in video author information. Restart TikTok to apply this.	Sempre mostrar a data de publicação nas informações do autor do vídeo. Reinicie o TikTok para aplicar.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	O nome de pacote de um app, como com.dv.adm. O botão de salvar manda o link do vídeo para lá em vez de salvar aqui. Deixe vazio para salvar aqui.
An operator code is five or six digits, like 310260	Um código de operadora tem cinco ou seis dígitos, como 310260
Animated sticker format	Formato dos stickers animados
App behavior	Comportamento do app
Applies to both video and photo downloads.	Vale tanto para os downloads de vídeo quanto para os de fotos.
Arrange your feed and bottom tabs	Organize seu feed e as abas de baixo
Audio	Áudio
Auto translate comments	Traduzir comentários automaticamente
Auto-advance session limit	Limite de avanço automático por sessão
Automatic	Automático
Automatic advance stopped after %1$d videos	O avanço automático parou depois de %1$d vídeos
Automatic advance stopped after one video	O avanço automático parou depois de um vídeo
Automatic clear display	Limpar a tela automaticamente
Back	Voltar
Back up settings	Backup das configurações
Backups and troubleshooting	Backups e solução de problemas
Black	Preto
Block new TikTok tabs	Bloquear novas abas do TikTok
Block new bottom tabs	Bloquear novas abas de baixo
Block this account	Bloquear esta conta
Block this commenter	Bloquear quem comentou
Block this sound	Bloquear este som
Blocked	Bloqueado
Blocked %1$s	%1$s bloqueado
Blocked caption words	Palavras bloqueadas nas legendas
Blocked comment words	Palavras bloqueadas nos comentários
Blocked creators	Criadores bloqueados
Blocked sound ids	Ids de sons bloqueados
Blocked sound names	Nomes de sons bloqueados
Blocked sounds	Sons bloqueados
Browse	Procurar
Cancel	Cancelar
Caption background	Fundo das legendas
Caption text size	Tamanho do texto das legendas
Captions, gestures and on-screen controls	Legendas, gestos e controles na tela
Capture crash reports locally	Guardar os relatórios de falha no aparelho
Choose 1-1000 videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	Escolha entre 1 e 1000 vídeos. Valores fora dessa faixa usam o limite válido mais próximo. Reinicie o TikTok para aplicar.
Choose a backup file. Your current settings are kept for Undo.	Escolha um arquivo de backup. Suas configurações atuais ficam guardadas para Desfazer.
Choose a subfolder under %1$s.	Escolha uma subpasta dentro de %1$s.
Choose observed share actions to hide. The stable identifier is shown below each label; unknown saved identifiers stay in the manual list.	Escolha quais ações de compartilhamento observadas quer esconder. O identificador estável aparece embaixo de cada rótulo; identificadores salvos desconhecidos ficam na lista manual.
Choose what reaches your feed	Escolha o que chega ao seu feed
Choose which loaded TikTok bottom navigation tabs should stay visible.	Escolha quais abas de navegação de baixo carregadas pelo TikTok devem continuar visíveis.
Choose which loaded TikTok feed tabs should stay visible.	Escolha quais abas do feed carregadas pelo TikTok devem continuar visíveis.
Choose which rows and controls appear	Escolha quais linhas e controles aparecem
Clear all	Limpar tudo
Clear all suggested accounts	Limpar todas as contas sugeridas
Clear buffered events, saved crash reports and the hook status above.	Limpa os eventos em memória, os relatórios de falha salvos e o estado dos ganchos acima.
Clear diagnostic data	Limpar os dados de diagnóstico
Clear display delay	Espera para limpar a tela
Clear search	Limpar a busca
Clear the seen video history	Limpar o histórico de vídeos vistos
Cleared. Tap again to put the record back.	Limpo. Toque de novo para trazer o registro de volta.
Close	Fechar
Comma separated account handles or user ids. These accounts are always skipped. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Nomes de usuário ou ids separados por vírgula. Essas contas são sempre puladas. Uma entrada entre barras, como /^news_/, é um padrão comparado com o nome de usuário e com o nome de exibição.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Códigos de país separados por vírgula, como GB, IE. Vídeos publicados de qualquer outro lugar ficam escondidos. Deixe vazio para todos os países.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Códigos de país separados por vírgula. Vídeos publicados a partir deles ficam escondidos, não importa o que a lista acima diga.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Lista separada por vírgula de outros títulos de linha da caixa de entrada para esconder, com correspondência exata. Use para o que não estiver acima.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Nomes separados por vírgula, exatamente como a folha de compartilhamento mostra: amigos da linha Enviar para, destinos como Facebook e ações como Criar grupo ou Repostar. Chaves estáveis como copy, save e dislike também funcionam antes de a folha abrir.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Ids de som separados por vírgula, registrados pelo botão de som do player. Tire um para desbloquear.
Comma separated usernames or display names whose comments are hidden.	Nomes de usuário ou nomes de exibição separados por vírgula cujos comentários ficam escondidos.
Comma separated words or phrases. Matching captions are skipped. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Palavras ou frases separadas por vírgula. Legendas que combinarem são puladas. Maiúsculas e minúsculas não importam. Duas frases entre aspas podem ser juntadas: "a" & "b" pede as duas, "a" !& "b" pede a primeira sem a segunda.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Palavras separadas por vírgula para comparar com o nome de um som, como saxofone. Maiúsculas e minúsculas não importam.
