# Turkish for Hushfacebook: the English key, a tab, the translation. One row per string.
# After editing, run python scripts/gen-l10n.py from the repository root.
"Pages you may like" and Facebook's own upsell cards. The in-feed surveys go too.	“Beğenebileceğin Sayfalar” ve Facebook'un kendi tanıtım kartları. Akıştaki anketler de kalkar.
%1$d item in that file isn't a setting this version of Hushfacebook knows, so it'll be left out.	O dosyadaki %1$d öğe, Hushfacebook'un bu sürümünün tanıdığı ayarlardan değil, bu yüzden atlanacak.
%1$d items in that file aren't settings this version of Hushfacebook knows, so they'll be left out.	O dosyadaki %1$d öğe, Hushfacebook'un bu sürümünün tanıdığı ayarlardan değil, bu yüzden atlanacak.
%1$d switch will change.	%1$d anahtar değişecek.
%1$d switches will change.	%1$d anahtar değişecek.
%1$s of %2$s	%1$s / %2$s
%1$s so far	Şimdiye kadar %1$s
%1$s. It was set when you patched, so Pause can't turn it off. To rule it out, patch again without the patch it comes from.	%1$s. Yamaladığında ayarlandığı için Duraklatma bunu kapatamaz. Bunu elemek için, ait olduğu yama olmadan yeniden yamala.
%1$s. They were set when you patched, so Pause can't turn them off. To rule one out, patch again without the patch it comes from.	%1$s. Yamaladığında ayarlandıkları için Duraklatma bunları kapatamaz. Bunlardan birini elemek için, ait olduğu yama olmadan yeniden yamala.
A diagnostic report is already being saved.	Bir tanılama raporu zaten kaydediliyor.
A Download button in the sidebar of every reel saves it at the best quality the player streams. Off or paused, reels show only Facebook's own buttons.	Her Reels videosunun kenar çubuğundaki İndir düğmesi, videoyu oynatıcının sunduğu en iyi kalitede kaydeder. Kapalıyken veya duraklatılmışken Reels videolarında yalnızca Facebook'un kendi düğmeleri görünür.
A file named %1$s in %2$s paused Hushfacebook.	%2$s içindeki %1$s adlı bir dosya Hushfacebook'u duraklattı.
About	Hakkında
Ad cards between the stories people posted.	İnsanların paylaştığı hikayeler arasındaki reklam kartları.
Ad telemetry blocked	Reklam telemetrisi engellendi
Adds Save to the menu of anyone's story, and saves at the best quality the player streams. Off or paused, only your own stories have Save, and it's Facebook's own.	Kimin olursa olsun her hikayenin menüsüne Kaydet seçeneğini ekler ve hikayeyi oynatıcının sunduğu en iyi kalitede kaydeder. Kapalıyken veya duraklatılmışken Kaydet seçeneği yalnızca kendi hikayelerinde bulunur ve Facebook'un kendi kaydetme işlevini çalıştırır.
Ads that arrive inside a page of reels. Banners and mid-rolls stay blocked while the patch is in, whatever this switch or Pause says. So do ads the app adds on its own.	Reels videoları arasında gelen reklamlar. Banner ve video ortası reklamlar ise yama uygulandığı sürece, bu anahtar veya Duraklatma ne derse desin, engellenmiş kalır. Uygulamanın kendi başına eklediği reklamlar da öyle.
AMOLED black theme	AMOLED siyah tema
Audience Network off	Audience Network kapalı
Back	Geri
Background ad prefetch blocked	Arka planda reklam indirme engellendi
Changing these	Bunları değiştirmek
Choose a settings file. You'll see how many switches it changes before anything does.	Bir ayar dosyası seç. Herhangi bir şey değişmeden önce kaç anahtarı değiştireceğini görürsün.
Clear diagnostic data	Tanılama verilerini temizle
Copy a short report, or save the full one to Download/Morphe. Links, account and post ids, session cookies and names are left out.	Kısa bir rapor kopyala veya tam raporu Download/Morphe klasörüne kaydet. Bağlantılar, hesap ve gönderi kimlikleri, oturum çerezleri ve adlar dahil edilmez.
Copy quick report	Hızlı raporu kopyala
Couldn't import every setting. Check the switches on this screen.	Bazı ayarlar içe aktarılamadı. Bu ekrandaki anahtarları kontrol et.
Couldn't import the settings. Nothing was changed.	Ayarlar içe aktarılamadı. Hiçbir şey değiştirilmedi.
Couldn't open that file. Nothing was changed.	Bu dosya açılamadı. Hiçbir şey değiştirilmedi.
Couldn't open the file picker. Try again.	Dosya seçici açılamadı. Tekrar dene.
Couldn't put back the diagnostic data. Try again.	Tanılama verileri geri getirilemedi. Tekrar dene.
Couldn't save the settings file. Try again.	Ayar dosyası kaydedilemedi. Tekrar dene.
Couldn't start that. Try again in a moment.	Bu işlem başlatılamadı. Birazdan tekrar dene.
Couldn't start the report export. Try again shortly.	Rapor dışa aktarımı başlatılamadı. Birazdan tekrar dene.
Dark mode draws black instead of dark grey. Turn on dark mode in Facebook to see it.	Karanlık mod koyu gri yerine siyah görünür. Görmek için Facebook'ta karanlık modu aç.
Debug logging	Hata ayıklama günlüğü
Diagnostic data cleared. Tap again to put it back.	Tanılama verileri temizlendi. Geri getirmek için tekrar dokun.
Diagnostic data put back.	Tanılama verileri geri getirildi.
Diagnostic report copied to the clipboard.	Tanılama raporu panoya kopyalandı.
Download	İndir
Download button on reels	Reels'teki İndir düğmesi
Download failed	İndirme başarısız oldu
Empties the log and the filter counts a report would include.	Bir raporun içereceği günlüğü ve filtre sayaçlarını boşaltır.
Every switch but Debug logging acts as if it were off, and what was set when you patched stays in. Your settings stay as they are.	Hata ayıklama günlüğü dışındaki her anahtar kapalıymış gibi davranır, yamaladığında ayarlananlar ise devrede kalır. Ayarların olduğu gibi kalır.
Export diagnostic report	Tanılama raporunu dışa aktar
Export settings	Ayarları dışa aktar
Facebook closed three times within a minute of starting, so Hushfacebook paused itself.	Facebook açıldıktan sonraki bir dakika içinde üç kez kapandı, bu yüzden Hushfacebook kendini duraklattı.
Facebook doesn't download ads or its ad model in the background.	Facebook reklamları veya reklam modelini arka planda indirmez.
Facebook doesn't serve ads to other apps on this phone.	Facebook bu telefondaki diğer uygulamalara reklam sunmaz.
From the next start, every switch above acts as if it were off, and Facebook's own code runs in its place. Debug logging keeps working, and your settings stay as they are.	Bir sonraki açılıştan itibaren yukarıdaki her anahtar kapalıymış gibi davranır ve yerine Facebook'un kendi kodu çalışır. Hata ayıklama günlüğü çalışmaya devam eder ve ayarların olduğu gibi kalır.
Full report saved to %1$s	Tam rapor şuraya kaydedildi: %1$s
GPL-3.0, with the notices of the projects this is built on	GPL-3.0, üzerine kurulduğu projelerin lisans bildirimleriyle
Hide promoted posts	Tanıtılan gönderileri gizle
Hide sponsored posts	Sponsorlu gönderileri gizle
Hide sponsored reels	Sponsorlu Reels videolarını gizle
Hide sponsored stories	Sponsorlu hikayeleri gizle
Hide suggested and promoted units	Önerilen ve tanıtılan kartları gizle
How far a photo or video you're saving has got, with a button to cancel it	Kaydettiğin fotoğraf veya videonun ilerleme durumu ve iptal etmek için bir düğme
Hushfacebook %1$s on Facebook %2$s	Facebook %2$s üzerinde Hushfacebook %1$s
Hushfacebook is on	Hushfacebook açık
Hushfacebook is paused	Hushfacebook duraklatıldı
Hushfacebook saves	Hushfacebook kaydetme işlemleri
Hushfacebook settings	Hushfacebook ayarları
Hushfacebook settings couldn't open	Hushfacebook ayarları açılamadı
Hushfacebook turns back on when Facebook restarts.	Hushfacebook, Facebook yeniden başladığında tekrar açılır.
Import	İçe aktar
Import settings	Ayarları içe aktar
Importing settings	Ayarlar içe aktarılıyor
Licenses	Lisanslar
Link expired. Reopen the item and try again	Bağlantının süresi doldu. Öğeyi yeniden açıp tekrar dene
Links	Bağlantılar
News feed	Akış
No matching diagnostics found.	Eşleşen tanılama bulunamadı.
No screenshot watching for ads, and no reports of which apps you install.	Reklamlarda ekran görüntüsü takibi yok, hangi uygulamaları yüklediğine dair rapor da yok.
Not saved: that isn't a Facebook photo or video	Kaydedilmedi: Bu bir Facebook fotoğrafı veya videosu değil
Not saved: the file is over 512 MB	Kaydedilmedi: Dosya 512 MB'tan büyük
Open links in your browser	Bağlantıları tarayıcında aç
Paid ads in the feed. They're dropped before Facebook adds them, so no gap is left.	Akıştaki ücretli reklamlar. Facebook eklemeden önce çıkarıldıkları için yerlerinde boşluk kalmaz.
Pause Hushfacebook	Hushfacebook'u duraklat
Posts Facebook files as promotions rather than as ads.	Facebook'un reklam yerine tanıtım olarak saydığı gönderiler.
Profiles and some Settings pages open again on this re-signed build.	Profiller ve bazı Ayarlar sayfaları bu yeniden imzalanmış sürümde tekrar açılır.
Re-signed build fix	Yeniden imzalanmış sürüm düzeltmesi
Reading the settings file	Ayar dosyası okunuyor
Reels and Watch	Reels ve Watch
Retry	Yeniden dene
Save any story	Herhangi bir hikayeyi kaydet
Save cancelled	Kaydetme iptal edildi
Save full report	Tam raporu kaydet
Saved to %1$s	Şuraya kaydedildi: %1$s
Saved to the gallery	Galeriye kaydedildi
Saved. Restart Facebook to apply this change.	Kaydedildi. Bu değişikliği uygulamak için Facebook'u yeniden başlat.
Saves the switches from the sections above to a file you choose. Pause and Debug logging stay out of it.	Yukarıdaki bölümlerin anahtarlarını seçtiğin bir dosyaya kaydeder. Duraklatma ve Hata ayıklama günlüğü dahil edilmez.
Saving a photo	Fotoğraf kaydediliyor
Saving a video	Video kaydediliyor
Saving the settings file	Ayar dosyası kaydediliyor
Saving...	Kaydediliyor...
