%1$d already matched	%1$d tanesi zaten eşleşiyor
%1$d areas were checked and everything they need is here.	%1$d alan kontrol edildi ve ihtiyaç duydukları her şey burada.
%1$d fields overridden	%1$d alan geçersiz kılındı
%1$d fields will be overridden when requested	İstendiğinde %1$d alan geçersiz kılınacak
%1$d gates selected	%1$d özellik kapısı seçildi
%1$d minutes left	%1$d dakika kaldı
%1$d rejected	%1$d reddedildi
%1$d results	%1$d sonuç
%1$d results so far	Şimdiye kadar %1$d sonuç
%1$d results so far, and more not counted	Şimdiye kadar %1$d sonuç, sayılmayan başkaları da var
%1$d results, filtered to %2$s	%1$d sonuç, filtre: %2$s
%1$d setting was not in that file and was left as it is	%1$d ayar o dosyada yoktu ve olduğu gibi bırakıldı
%1$d settings were not in that file and were left as they are	%1$d ayar o dosyada yoktu ve oldukları gibi bırakıldı
%1$d unavailable	%1$d kullanılamıyor
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok değeri)
%1$s (custom, unverified)	%1$s (özel, doğrulanmamış)
%1$s (override returned)	%1$s (geçersiz kılma döndürüldü)
%1$s (will be returned when requested)	%1$s (istendiğinde döndürülecek)
%1$s / current cache only	%1$s / yalnızca mevcut önbellek
%1$s / generated registry	%1$s / oluşturulmuş kayıt defteri
%1$s / generated registry and current cache	%1$s / oluşturulmuş kayıt defteri ve mevcut önbellek
%1$s / local catalog	%1$s / yerel katalog
%1$s and above	%1$s ve üzeri
%1$s appears more than once in this file.	%1$s bu dosyada birden fazla kez geçiyor.
%1$s changed	%1$s değişti
%1$s destinations must start with %2$s	%1$s hedefleri %2$s ile başlamalı
%1$s has an invalid value. %2$s	%1$s değeri geçersiz. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s, Lab'in geçersiz kılamayacağı bir değer türü.
%1$s has type %2$s, but the file says %3$s.	%1$s türü %2$s, ama dosyada %3$s yazıyor.
%1$s is already hidden	%1$s zaten gizli
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s bir ülke kodu değil, bu yüzden hiçbir video onunla eşleşmez. GB, IE veya US gibi iki harf kullan.
%1$s is not in this Lab catalog.	%1$s bu Lab kataloğunda yok.
%1$s isn't installed or doesn't take links	%1$s yüklü değil veya bağlantı kabul etmiyor
%1$s left	%1$s kaldı
%1$s min left	%1$s dk kaldı
%1$s to %2$s	%1$s ile %2$s arası
%1$s videos left	%1$s video kaldı
%1$s was rejected. %2$s	%1$s reddedildi. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seçili
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d bulundu, %3$d eksik
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı. İlk eksik: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik. İlk eksik: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 alan geçersiz kılındı
1 field will be overridden when requested	İstendiğinde 1 alan geçersiz kılınacak
1 gate selected	1 özellik kapısı seçildi
1 min left	1 dk kaldı
1 result	1 sonuç
1 result so far	Şimdiye kadar 1 sonuç
1 video left	1 video kaldı
A Lab change is already running	Bir Lab değişikliği zaten sürüyor
A creator pattern is taking too long and was turned off: %1$s	Bir içerik üreticisi kalıbı çok uzun sürdüğü için kapatıldı: %1$s
A diagnostic report is already being saved	Bir tanılama raporu zaten kaydediliyor
A field value couldn't be read. Check the values and try again.	Bir alan değeri okunamadı. Değerleri kontrol edip tekrar dene.
A good place to stop, if you want one.	İstersen, durmak için iyi bir an.
A green dot in the top corner while TikTok has the camera open and an orange one while it records sound. They go when the access ends.	TikTok kamerayı açık tuttuğu sürece üst köşede yeşil bir nokta, ses kaydederken de turuncu bir nokta görünür. Erişim bitince kaybolurlar.
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Bir bağlantıyı paylaşırken veya kopyalarken tiktok.com yerine konacak alan adı, örneğin vxtiktok.com. TikTok'un kendi bağlantılarını paylaşmak için boş bırak. Yalnızca TikTok bağlantıları değişir, onların da yalnızca alan adı: hiçbir yere yeni bir şey gönderilmez.
A newer clear replaced that undo. Tap the row again to undo.	Daha yeni bir temizleme o geri almanın yerini aldı. Geri almak için satıra tekrar dokun.
A small label on the feed shows the minutes or videos left of today's budget, whichever is closer to running out.	Akıştaki küçük bir etiket, bugünkü bütçenden kalan dakikayı veya video sayısını gösterir, hangisi bitmeye daha yakınsa onu.
A tap on Home or on the For You tab while For You is showing no longer reloads it. The video you're on stays.	Senin İçin açıkken Ana Sayfa'ya ya da Senin İçin sekmesine dokunmak artık akışı yenilemez. İzlediğin video yerinde kalır.
A tap on a person in the Send to row only selects them. A second tap on the same person within %1$d seconds sends the video.	Şuraya gönder satırındaki bir kişiye dokunmak onu yalnızca seçer. Aynı kişiye %1$d saniye içinde ikinci kez dokunmak videoyu gönderir.
A video you paused stays paused when you come back to the app instead of starting again. One you left playing starts as usual. It works on Android 10 and newer.	Duraklattığın bir video, uygulamaya döndüğünde yeniden başlamak yerine duraklatılmış kalır. Oynarken bıraktığın bir video her zamanki gibi başlar. Android 10 ve sonrasında çalışır.
A web address someone left in a comment can be tapped instead of copied out by hand. Tapping anywhere else in the comment still does what it did.	Birinin yoruma bıraktığı web adresine, elle kopyalamak yerine dokunulabilir. Yorumun başka bir yerine dokunmak yine eskiden ne yapıyorsa onu yapar.
AI-generated posts	Yapay zeka ile üretilmiş gönderiler
About	Hakkında
A forced value applies to this copy of TikTok whichever account is signed in. It cannot get past a check the server makes.	Zorlanan bir değer, hangi hesap oturum açmış olursa olsun bu TikTok kopyası için geçerlidir. Sunucunun yaptığı bir denetimi aşamaz.
Leave when TikTok says time is up	TikTok süre doldu deyince uygulamadan çık
No app on this phone opens that file	Bu telefonda o dosyayı açan bir uygulama yok
Open	Aç
This key touches account safety. Forcing it can change login, region, payment or security checks.	Bu anahtar hesap güvenliğine dokunur. Zorlamak giriş, bölge, ödeme veya güvenlik denetimlerini değiştirebilir.
Activity	Etkinlik
Activity center (PIA)	Etkinlik merkezi (PIA)
Add	Ekle
Add a button beside the block control to send feedback about the current video.	Engelleme düğmesinin yanına, o anki video hakkında geri bildirim göndermek için bir düğme ekle.
Add a button that hides the current creator on this phone without blocking them.	O anki içerik üreticisini engellemeden bu telefonda gizleyen bir düğme ekle.
Add a creator	İçerik üreticisi ekle
Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.	Bu videoda yüklenmiş yorumları metne veya kullanıcı adına göre filtreleyen bir arama kutusu ekle. Tüm TikTok'ta arama yapmaz ve TikTok'un önerilen arama bandını kaldırmaz.
Add a separate button that skips videos using the current sound.	O anki sesi kullanan videoları atlayan ayrı bir düğme ekle.
Add hidden creator	Gizli içerik üreticisi ekle
Added %1$s	%1$s eklendi
Ads	Reklamlar
Advanced	Gelişmiş
Advanced JSON value	Gelişmiş JSON değeri
All	Tümü
All available languages	Kullanılabilir tüm diller
All events	Tüm olaylar
All loaded tabs	Yüklenen tüm sekmeler
Allow Duet and Stitch anyway	Yine de Düet ve Stitch'e izin ver
Allow screenshots and Circle to Search	Ekran görüntüsüne ve Circle to Search'e izin ver
Allow storage for TikTok in Android settings to save profile pictures	Profil fotoğraflarını kaydetmek için Android ayarlarında TikTok'a depolama izni ver
Allow storage for TikTok in Android settings to save sounds	Sesleri kaydetmek için Android ayarlarında TikTok'a depolama izni ver
Allow storage for TikTok in Android settings to save stories	Hikayeleri kaydetmek için Android ayarlarında TikTok'a depolama izni ver
Already active	Zaten etkin
Already marked as not interested	Zaten İlgilenmiyorum olarak işaretlendi
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Bu filtreleri, akış yeterince yeni öğe yükleyemediğinde TikTok'un kullandığı indirilmiş videolara da uygula.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.	TikTok'un dahili olarak bildirdiği bölgeyi de değiştir. Arayüz dilin aynı kalır. IP adresin ve hesabının kendi kuralları geçerli olmaya devam eder.
Always show publish date	Yayın tarihini her zaman göster
Always show the publish date in video author information. Restart TikTok to apply this.	Video sahibi bilgilerinde yayın tarihini her zaman göster. Bunu uygulamak için TikTok'u yeniden başlat.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	com.dv.adm gibi bir uygulamanın paket adı. Kaydet düğmesi videoyu buraya kaydetmek yerine bağlantısını o uygulamaya gönderir. Buraya kaydetmek için boş bırak.
An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup.	Yarıda kalan bir ayar değişikliği kurtarılamadı, bu yüzden kaydı bir kenara ayrıldı. Ayarlarını kontrol et veya bir yedeği geri yükle.
An operator code is five or six digits, like 310260	Operatör kodu beş veya altı hanelidir, örneğin 310260
An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.	Geçersiz kılma, TikTok'un bu kapıdan okuduğu değeri değiştirir. TikTok'un önbelleğe aldığı değeri yeniden yazmaz ve adı geçen özelliğin değiştiğini kanıtlamaz.
Animated sticker format	Hareketli çıkartma biçimi
Answer TikTok's location requests with nothing. The region settings change the locale and timezone. This switch stops the coordinates.	TikTok'un konum isteklerini boş yanıtla. Bölge ayarları yerel ayarı ve saat dilimini değiştirir; bu ise koordinatları durdurur.
Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.	TikTok'un kişilerini okuma isteklerini boş bir listeyle yanıtla. Arkadaşlarını bul ve Tanıyor olabileceğin kişiler, kişi listene erişimi kaybeder.
Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone.	TikTok'un bu telefondaki uygulamaları taramasını boş bir listeyle yanıtla. TikTok'un dokunduğun bir uygulamayı açmak için de kullandığı, adı belli tek bir uygulamaya yönelik kontrole dokunulmaz.
App	Uygulama
App AB	Uygulama AB
Appearance	Görünüm
Applies to both video and photo downloads.	Hem video hem fotoğraf indirmeleri için geçerlidir.
Apply	Uygula
Applying Calm feed	Sakin akış uygulanıyor
Around the video	Videonun çevresi
Arrange your feed and bottom tabs	Akışını ve alt sekmeleri düzenle
Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions.	TikTok'tan hesabına göre kişiselleştirilmemiş arama sonuçları iste. Bu, sonuçları değiştirir, arama düğmelerini veya önerilerini değil.
Attention	Dikkat
Audio	Ses
Auto translate comments	Yorumları otomatik çevir
Auto-advance	Otomatik geçiş
Auto-advance session limit	Otomatik geçiş oturum sınırı
Auto-advance stopped after %1$d videos	Otomatik geçiş %1$d videodan sonra durdu
Auto-advance stopped after one video	Otomatik geçiş bir videodan sonra durdu
